Item,Quantity,RefDes,MFR / Source,MFR PN / Link,DigiKey PN,~Price
Seeed XIAO RP2040,1,,"Seeed Technology Co., Ltd",102010428,1597-102010428-ND,$4.68
MIDI FeatherWing kit,1,,Adafruit Industries LLC,4740,1528-4740-ND,$6.95
Photodiode + TIA ICs,4,,Texas Instruments,OPT101P,296-23090-5-ND,$36.24
940nm IR LEDs,4,,Vishay Semiconductor Opto Division,TSAL6400,751-1205-ND,$1.96
0.1uF Capacitors,4,,KEMET,C315C104K5R5TA,399-C315C104K5R5TA-ND,$1.88
10uF Capacitors,2,,Panasonic Electronic Components,ECA-1EM100,P5148-ND,$0.40
9V Battery,1,,Panasonic Energy,6LF22XWA/B,P687-ND,$2.32
9V Battery Connector,1,,Keystone Electronics,233,36-233-ND,$0.54
"1/4"" Black Heatshrink",1,,3M,"FP301-1/4-48""-BLACK-200 PCS",3M161319-ND,$3.85
4x2 IC Dip Socket,4,,On Shore Technology Inc.,ED08DT,ED3044-5-ND,$0.76
Rocker Switch,1,,E-Switch,RA11131121,EG5617-ND,$0.71
330 Ohm Resistors,4,,Stackpole Electronics Inc,CF14JT330R,CF14JT330RCT-ND,$0.40
5V Buck Converter,1,,Amazon,https://www.amazon.com/dp/B0BVFTSSSC,,$8.69
,,,,,,
,,,,,,$70.00
